image_name,text,label,image_path
79351.png,jew mad? get fuhrerious!,1,/content/drive/MyDrive/curate138dataset/offensive_images/79351.png
25489.png,brother... a day without a blast is a day wasted,1,/content/drive/MyDrive/curate138dataset/offensive_images/25489.png
72640.png,"is bribing muslims for liberal votes justin trudeau's only skill? why does justin trudeau love foreigners so much while openly disrespecting canadians, canadian values, our history and traditions, our seniors and veterans? sharia law has no place in canada! never has... never will.",1,/content/drive/MyDrive/curate138dataset/offensive_images/72640.png
93547.png,d.j. osama spin laden droppin' beats like the twin towers,1,/content/drive/MyDrive/curate138dataset/offensive_images/93547.png
74386.png,we said we would never forget why are you voting them into our government?,1,/content/drive/MyDrive/curate138dataset/offensive_images/74386.png
52610.png,i'm sick of politics so here's a pic of michelle obama riding a unicorn,1,/content/drive/MyDrive/curate138dataset/offensive_images/52610.png
69357.png,hey look at me! i'm a serial pedofile,1,/content/drive/MyDrive/curate138dataset/offensive_images/69357.png
54602.png,when you just finished shooting a bunch of black kids but accidently killed a squirrel,1,/content/drive/MyDrive/curate138dataset/offensive_images/54602.png
20619.png,when you beat the shit out of the tranny hooker after you nut and call it a f****t but it doesn't get back up,1,/content/drive/MyDrive/curate138dataset/offensive_images/20619.png
74530.png,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,1,/content/drive/MyDrive/curate138dataset/offensive_images/74530.png
29163.png,what kind of punch can take out 20 kids and 6 adults? a sandy hook,1,/content/drive/MyDrive/curate138dataset/offensive_images/29163.png
90583.png,we can kill as many as we want and your stupid government keeps bringing us in,1,/content/drive/MyDrive/curate138dataset/offensive_images/90583.png
52097.png,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash",1,/content/drive/MyDrive/curate138dataset/offensive_images/52097.png
15803.png,what do you call a retarded jew? auschwistic,1,/content/drive/MyDrive/curate138dataset/offensive_images/15803.png
75321.png,cannibal tribe from indonesia will take muslim refugess in any amount,1,/content/drive/MyDrive/curate138dataset/offensive_images/75321.png
34508.png,jews are the problem. not just zionists or israelis. jews. all of them,1,/content/drive/MyDrive/curate138dataset/offensive_images/34508.png
25468.png,white people walked on all fours before black people came and showed them how to stand up,1,/content/drive/MyDrive/curate138dataset/offensive_images/25468.png
96578.png,mohammad is fucked by blink hacker group! oink oink! hi! my name's mohammad! fuck you muslims!,1,/content/drive/MyDrive/curate138dataset/offensive_images/96578.png
78409.png,i stand with hitler these was this time at auschwitz when i needed medical attention and doctor mengele was there for me,1,/content/drive/MyDrive/curate138dataset/offensive_images/78409.png
29814.png,"if you hold a black baby to your ear, you can hear the police sirens",1,/content/drive/MyDrive/curate138dataset/offensive_images/29814.png
54102.png,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,1,/content/drive/MyDrive/curate138dataset/offensive_images/54102.png
14052.png,this is racist but this is not?????,1,/content/drive/MyDrive/curate138dataset/offensive_images/14052.png
26759.png,that look when you wanna cut a bitch but you remember your a changed man,1,/content/drive/MyDrive/curate138dataset/offensive_images/26759.png
83456.png,whats the difference between santa and the jews santa goes down the chimney,1,/content/drive/MyDrive/curate138dataset/offensive_images/83456.png
24631.png,it's ma'am!! yooouu lookah like a man,1,/content/drive/MyDrive/curate138dataset/offensive_images/24631.png
03258.png,"i heard we can get free steroids in australia please help feed and house this poor, defenceless refugee. don't be racist and let me in!",1,/content/drive/MyDrive/curate138dataset/offensive_images/03258.png
20736.png,go be gay somewhere else,1,/content/drive/MyDrive/curate138dataset/offensive_images/20736.png
51473.png,god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:,1,/content/drive/MyDrive/curate138dataset/offensive_images/51473.png
48635.png,the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face,1,/content/drive/MyDrive/curate138dataset/offensive_images/48635.png
43612.png,racing for pink slips in africa,1,/content/drive/MyDrive/curate138dataset/offensive_images/43612.png
15480.png,"we kill you on 9/11 and you elect 3 of us to congress, stupid infidels!",1,/content/drive/MyDrive/curate138dataset/offensive_images/15480.png
06873.png,just got a bootleg copy of muslim porn deep goat,1,/content/drive/MyDrive/curate138dataset/offensive_images/06873.png
08523.png,cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant,1,/content/drive/MyDrive/curate138dataset/offensive_images/08523.png
76250.png,chillin with my chromies,1,/content/drive/MyDrive/curate138dataset/offensive_images/76250.png
80269.png,this is really out of mein kampfert zone,1,/content/drive/MyDrive/curate138dataset/offensive_images/80269.png
35219.png,they stole ma chickin i stole their life,1,/content/drive/MyDrive/curate138dataset/offensive_images/35219.png
56871.png,who cares if mexicans are offended americans are offended by illegal immigration,1,/content/drive/MyDrive/curate138dataset/offensive_images/56871.png
25180.png,hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose,1,/content/drive/MyDrive/curate138dataset/offensive_images/25180.png
48106.png,fuck islam,1,/content/drive/MyDrive/curate138dataset/offensive_images/48106.png
38625.png,"a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized)",1,/content/drive/MyDrive/curate138dataset/offensive_images/38625.png
25368.png,when you suicide bomb an islamic mosque during a friday worship,1,/content/drive/MyDrive/curate138dataset/offensive_images/25368.png
92874.png,so..convert to islam or die?  i say fuck it..let's roll,1,/content/drive/MyDrive/curate138dataset/offensive_images/92874.png
27946.png,cadbury's halal creme eggs  now available in special edition,1,/content/drive/MyDrive/curate138dataset/offensive_images/27946.png
93521.png,ever notice that christians are bad drivers,1,/content/drive/MyDrive/curate138dataset/offensive_images/93521.png
14530.png,it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head,1,/content/drive/MyDrive/curate138dataset/offensive_images/14530.png
56482.png,heroin is destroying the white community keep up the good work heroin,1,/content/drive/MyDrive/curate138dataset/offensive_images/56482.png
34852.png,"gee, i'd like to suicide bomb the crap out of that church, but i got a thing at 5 couldn't abdul do it?",1,/content/drive/MyDrive/curate138dataset/offensive_images/34852.png
68325.png,"it happend mom, a black guy gave me complement ohhh sweety i'm so sorry. that means you need to lose about 30 pounds",1,/content/drive/MyDrive/curate138dataset/offensive_images/68325.png
98362.png,it's ma'am look i found a penis,1,/content/drive/MyDrive/curate138dataset/offensive_images/98362.png
45938.png,"hey, i just met you, and this is crazy, this is my grenade so blow me, maybe?",1,/content/drive/MyDrive/curate138dataset/offensive_images/45938.png
70925.png,where did jimmy go during the bombing? everywhere,1,/content/drive/MyDrive/curate138dataset/offensive_images/70925.png
71364.png,obama voters,1,/content/drive/MyDrive/curate138dataset/offensive_images/71364.png
42179.png,immigrants illegal aliens,1,/content/drive/MyDrive/curate138dataset/offensive_images/42179.png
56490.png,how could this happen in the current year? when it's 2019 and there are still people who refuse to celebrate rectal wart sex,1,/content/drive/MyDrive/curate138dataset/offensive_images/56490.png
07968.png,ernie mocks tyrone's lack of a father in front of the whole class,1,/content/drive/MyDrive/curate138dataset/offensive_images/07968.png
81259.png,when you see a child in a gay parade half naked twerking with everyone celebrating ernie prepares to commit a hate crime,1,/content/drive/MyDrive/curate138dataset/offensive_images/81259.png
19753.png,"how many times do we have to teach you this lesson, you tranny freaks ?",1,/content/drive/MyDrive/curate138dataset/offensive_images/19753.png
61480.png,why is it bad to be a black jew because you have to sit at the back of the oven,1,/content/drive/MyDrive/curate138dataset/offensive_images/61480.png
43517.png,"when you hear 'em yelling that allahakbar crap, just shoot 'em before they blow up a bomb, or start stabbin' and shootin' people",1,/content/drive/MyDrive/curate138dataset/offensive_images/43517.png
51736.png,"""america has stolen the jews the jews of god. his jewelry. the negroes. they are the true hebrews"" google it",1,/content/drive/MyDrive/curate138dataset/offensive_images/51736.png
95426.png,i hate all fucking jews they are scum of the earth,1,/content/drive/MyDrive/curate138dataset/offensive_images/95426.png
04175.png,im not racist because racism is a crime and crime is for black people,1,/content/drive/MyDrive/curate138dataset/offensive_images/04175.png
31479.png,"the only ""perferred pronouns"" a tranny needs is ""it"" or ""thing""",1,/content/drive/MyDrive/curate138dataset/offensive_images/31479.png
17205.png,i win again! parkinson's center,1,/content/drive/MyDrive/curate138dataset/offensive_images/17205.png
74132.png,"fuck allah, fuck muslims and fuck islam. and if you don't like what i say then fuck",1,/content/drive/MyDrive/curate138dataset/offensive_images/74132.png
03241.png,when black people make white jokes when white people make black jokes,1,/content/drive/MyDrive/curate138dataset/offensive_images/03241.png
61780.png,you may be a racist if.. your response to a question from an african american is to mention the inner city 25 times,1,/content/drive/MyDrive/curate138dataset/offensive_images/61780.png
81546.png,when i was a kid i thought black people were made from anal sex,1,/content/drive/MyDrive/curate138dataset/offensive_images/81546.png
93568.png,i'm so fucking gay i can't even think straight,1,/content/drive/MyDrive/curate138dataset/offensive_images/93568.png
06832.png,government shills hate him!!! <<< this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated!,1,/content/drive/MyDrive/curate138dataset/offensive_images/06832.png
53941.png,"i didn't hear the question ... ...but the answer is, white people are racist",1,/content/drive/MyDrive/curate138dataset/offensive_images/53941.png
97635.png,didnt stand during the national anthem... no one said a word... # whiteprivilege,1,/content/drive/MyDrive/curate138dataset/offensive_images/97635.png
09634.png,come on our shame tour! we will show you how to murder babies and harass the elderly,1,/content/drive/MyDrive/curate138dataset/offensive_images/09634.png
76258.png,when you advocate for killing babies after their birth and then you have ash on your forhead for ash wednesday unbelievable smh,1,/content/drive/MyDrive/curate138dataset/offensive_images/76258.png
70435.png,this one time at camp we got so baked,1,/content/drive/MyDrive/curate138dataset/offensive_images/70435.png
08654.png,never had one before . what? a room to yourself? a white bitch,1,/content/drive/MyDrive/curate138dataset/offensive_images/08654.png
80361.png,thanks trump for my new job making america white again,1,/content/drive/MyDrive/curate138dataset/offensive_images/80361.png
74536.png,for guys that like it nice and slow gimme a call,1,/content/drive/MyDrive/curate138dataset/offensive_images/74536.png
75340.png,"forgive me allah.. i just can't understand why i am allowed to behead my enemies and marry little girls, but i can't eat a fucking ham sandwich",1,/content/drive/MyDrive/curate138dataset/offensive_images/75340.png
06471.png,"colin kaepernick and his evil white oppressors oh wait, those are his parents!",1,/content/drive/MyDrive/curate138dataset/offensive_images/06471.png
68507.png,black chicks even the white ones are ugly,1,/content/drive/MyDrive/curate138dataset/offensive_images/68507.png
04263.png,holocaust jokes are offensive ann frankly aren't funny,1,/content/drive/MyDrive/curate138dataset/offensive_images/04263.png
26495.png,when your goat tells you she ain't on the pil,1,/content/drive/MyDrive/curate138dataset/offensive_images/26495.png
56378.png,i'm not racist. racism is a crime and crime is only for blacks,1,/content/drive/MyDrive/curate138dataset/offensive_images/56378.png
25397.png,what do you call a black guy in a tree with a briefcase.. a branch manager,1,/content/drive/MyDrive/curate138dataset/offensive_images/25397.png
63285.png,"he's like 20 and still plays video games bitch please, yall 15 and pregnant",1,/content/drive/MyDrive/curate138dataset/offensive_images/63285.png
42693.png,cooking teacher: 'today we'll learn how to use the ovens' the german kid:,1,/content/drive/MyDrive/curate138dataset/offensive_images/42693.png
64027.png,"""islam is love!"" - ariana grande yeah, if you're a goat",1,/content/drive/MyDrive/curate138dataset/offensive_images/64027.png
20751.png,"""islam is love!"" ariana grande august 2017 hillary clinton rally yeah, if you're a goat ***",1,/content/drive/MyDrive/curate138dataset/offensive_images/20751.png
94351.png,hmmm minyoda i am beat women i must,1,/content/drive/MyDrive/curate138dataset/offensive_images/94351.png
59467.png,"new for 2015 peel and stick eye-slit stickers to make your garbage & trash sharia compliant in compliance with sharia law, you can now turn all your garbage into muslim trash!",1,/content/drive/MyDrive/curate138dataset/offensive_images/59467.png
67384.png,what's hillary's favorite pizza? little seizures,1,/content/drive/MyDrive/curate138dataset/offensive_images/67384.png
21086.png,when the muslim kid you bullied starts counting backwards,1,/content/drive/MyDrive/curate138dataset/offensive_images/21086.png
40153.png,"""okay class bring out your calculators"" mohammed:",1,/content/drive/MyDrive/curate138dataset/offensive_images/40153.png
68379.png,i can put up with muslims killing canadians but i absolutely will not tolerate canadians criticizing muslims,1,/content/drive/MyDrive/curate138dataset/offensive_images/68379.png
59478.png,his grandparents died in the holocaust so we gonna put an oven in the trunk,1,/content/drive/MyDrive/curate138dataset/offensive_images/59478.png
19256.png,"as muslims, our quran orders us to immigrate to other countries, replace their governments with sharia law, orders the murder of christians, jews and all gay people, while embracing slavery and pedophilia. thanks democrats for making it so easy for us!",1,/content/drive/MyDrive/curate138dataset/offensive_images/19256.png
95317.png,all those in favour of bringing swedish women to america as refugees instead of muslims please like and share,1,/content/drive/MyDrive/curate138dataset/offensive_images/95317.png
16490.png,i said glass of juice not gas the jews,1,/content/drive/MyDrive/curate138dataset/offensive_images/16490.png
13876.png,can i get an order of savage with no chili please,1,/content/drive/MyDrive/curate138dataset/offensive_images/13876.png
52903.png,throwing off a gay one with the boys,1,/content/drive/MyDrive/curate138dataset/offensive_images/52903.png
56389.png,no means no unless she's dyslexic then it's on,1,/content/drive/MyDrive/curate138dataset/offensive_images/56389.png
64805.png,"we will kill every man, woman, child shia, sunni.... zoroastrain, kurd or christian but we don't touch israel why is that?",1,/content/drive/MyDrive/curate138dataset/offensive_images/64805.png
79103.png,"racism exists among all races in the world.. white people are just better at it, like most things",1,/content/drive/MyDrive/curate138dataset/offensive_images/79103.png
89042.png,white people doing weird shit black people being criminals stereotypes they exist for a reason,1,/content/drive/MyDrive/curate138dataset/offensive_images/89042.png
27034.png,record black employment record black welfare record black imprisonment,1,/content/drive/MyDrive/curate138dataset/offensive_images/27034.png
05129.png,"you ever get laid in a sleeping bag? it's awful. you can't even move, you're drenched in sweat, and your scout master is covering your mouth",1,/content/drive/MyDrive/curate138dataset/offensive_images/05129.png
34658.png,"pissed off two men becuase i refered to them as hipsters apparently the correct term is ""conjoined twins""",1,/content/drive/MyDrive/curate138dataset/offensive_images/34658.png
67415.png,the tranny your you been girlfriend fucking,1,/content/drive/MyDrive/curate138dataset/offensive_images/67415.png
27953.png,i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her,1,/content/drive/MyDrive/curate138dataset/offensive_images/27953.png
38704.png,chicken niggers,1,/content/drive/MyDrive/curate138dataset/offensive_images/38704.png
42309.png,"we're new, bold, and we hate you! we hate whites, jews, christians, conservatives, republicans, & patriots",1,/content/drive/MyDrive/curate138dataset/offensive_images/42309.png
59837.png,your purchase of $19.99 comes to $21.36 after theft,1,/content/drive/MyDrive/curate138dataset/offensive_images/59837.png
07192.png,when you're a nazi officer and someone gives you the name and location of a jewish family,1,/content/drive/MyDrive/curate138dataset/offensive_images/07192.png
75428.png,black people: damn y'all crackas some bitches y'all so sensitive lmao mayo ass crackas white people: black people:,1,/content/drive/MyDrive/curate138dataset/offensive_images/75428.png
04326.png,when the chow mein was on point but you kinda miss your cat,1,/content/drive/MyDrive/curate138dataset/offensive_images/04326.png
52986.png,the most beautiful chimpanzee and above him is one uglyass retarded nibba who says dc is better than marvel,1,/content/drive/MyDrive/curate138dataset/offensive_images/52986.png
89610.png,elon musk presents infinite energy source,1,/content/drive/MyDrive/curate138dataset/offensive_images/89610.png
37641.png,when they asks why you dropped the muslim kid off from school to give the parents back their bomb,1,/content/drive/MyDrive/curate138dataset/offensive_images/37641.png
89740.png,africa 100 years ago africa today + aids,1,/content/drive/MyDrive/curate138dataset/offensive_images/89740.png
67159.png,christianity making white people stupid for the past 2000 years,1,/content/drive/MyDrive/curate138dataset/offensive_images/67159.png
74152.png,i'd like to report hello 911 emergency? a misandry! yes this girl came out of nowhere and totally ignored my man feelings!,1,/content/drive/MyDrive/curate138dataset/offensive_images/74152.png
61802.png,black friday sale,1,/content/drive/MyDrive/curate138dataset/offensive_images/61802.png
96143.png,"roses are red, violets are blue mexicans are rapists, and so am i",1,/content/drive/MyDrive/curate138dataset/offensive_images/96143.png
51734.png,when you're shooting up the school and the cops shoot the black kid that's running away,1,/content/drive/MyDrive/curate138dataset/offensive_images/51734.png
80169.png,(muslim noises),1,/content/drive/MyDrive/curate138dataset/offensive_images/80169.png
42368.png,"""radical"" islam? is there a kind that doesn't molest children and goats and behead people?",1,/content/drive/MyDrive/curate138dataset/offensive_images/42368.png
41568.png,when she hits you with the super sloppy 2 handed mctwist while making eye contact and calling you daddy and you just go full autistic,1,/content/drive/MyDrive/curate138dataset/offensive_images/41568.png
60128.png,don't know how to deal with black people but i guess i'll take a shot at it,1,/content/drive/MyDrive/curate138dataset/offensive_images/60128.png
84703.png,"""oh no hundreds of white people: years of culture is being destroyed"" all other reaces: first time?",1,/content/drive/MyDrive/curate138dataset/offensive_images/84703.png
07258.png,"some crazy rez girls be like: ""if you ever leave me, i'll punch myself in the face and tell cops you did it""",1,/content/drive/MyDrive/curate138dataset/offensive_images/07258.png
25639.png,why isn't my drain working? probably cause the pipe's black,1,/content/drive/MyDrive/curate138dataset/offensive_images/25639.png
08632.png,"""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am",1,/content/drive/MyDrive/curate138dataset/offensive_images/08632.png
38427.png,when you see another black person getting their ass whipped by the cops stop breaking the law,1,/content/drive/MyDrive/curate138dataset/offensive_images/38427.png
20759.png,this steak is so black it stole my television,1,/content/drive/MyDrive/curate138dataset/offensive_images/20759.png
62435.png,wing wing wing herro? thats racist,1,/content/drive/MyDrive/curate138dataset/offensive_images/62435.png
62849.png,cumshot on jewish girl face - 1943,1,/content/drive/MyDrive/curate138dataset/offensive_images/62849.png
62081.png,well let me tell you something brother fuck niccfps,1,/content/drive/MyDrive/curate138dataset/offensive_images/62081.png
85923.png,ford owner blew a rod wasnt talking about his engine,1,/content/drive/MyDrive/curate138dataset/offensive_images/85923.png
